Golfer,Group
Patrick Cantlay,1
Bryson DeChambeau,1
Viktor Hovland,1
Dustin Johnson,1
Brooks Koepka,1
Rory McIIroy,1
Collin Morikawa,1
Jon Rahm,1
Xander Schauffele,1
Jordan Spieth,1
Justin Thomas,1
Keegan Bradley,4
Sergio Garcia,4
Charley Hoffman,4
Max Homa,4
Kevin Kisner,4
Marc Leishman,4
Shane Lowry,4
Ryan Palmer,4
Justin Rose,4
Adam Scott,4
Cameron Tringale,4
Abraham Ancer,2
Daniel Berger,2
Sam Burns,2
Harris English,2
Tony Finau,2
Jason Kokrak,2
Hideki Matsuyama,2
Louis Oosthuizen,2
Patrick Reed,2
Scott Scheffler,2
Webb Simpson,2
Cameron Champ,5
Cameron Davis,5
Talor Gooch,5
Emiliano Grillo,5
Lucas Herbert,5
Si Woo Kim,5
Kyoung-Hoon Lee,5
Maverick McNealy,5
Sebastian Munoz,5
Carlos Ortiz,5
Aaron Wise,5
Paul Casey,3
Corey Conners,3
Matthew Fitzpatrick,3
Tyrell Hatton,3
Billy Horschel,3
Sungjae Im,3
Kevin Na,3
Joaquin Niemann,3
Cameron Smith,3
Matthew Wolff,3
Will Zalatoris,3
Jason Day,6
Rickie Fowler,6
Brenden Grace,6
Brian Harman,6
Russell Henley,6
Mackenize Hughes,6
Alex Noren,6
Eric van Rooyen,6
Bubba Watson,6
Gary Woodland,6
Chris Kirk,6
          ,